"asset_id","llc_name","portfolio","address","year_built","units_count","unit_number","bedroom_count"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","C4","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","C4 - A","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","C4 - B","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","D1","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","D2","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","D3","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","D4 - A","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","D4 - B","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","Retail 1","2"
"S0002","SREP SOUTHEND 1 LLC","South End Portf.","97-103 Maple Ave",,"16","Retail 2","2"
